bgtyy	statcd	statna	obj	stdcd	sysdat	usno
102	231	外勤誤餐費	0211		0960523	
102	232	外勤交通費	0211		0960523	
102	233	國際組織會費	0212		0960523	
102	234	國內組織會費	0212		0960524	BGT
102	235	兼職費	0213		0970415	
102	236	委聘律師公費	0214		0960523	
102	237	委聘會計師公費	0214		0960523	
102	238	委聘其他專技人員公費	0214		0960523	
102	239	顧問費	0214		0960523	
102	240	聘請學者專家出席費	0214		0960523	
102	241	地方人士出席專案會議交通費	0214		0960523	
102	242	講座鐘點費	0214		0960523	
102	243	稿費及編輯費	0214		0960523	
102	244	考試及其他作業費	0214		0960523	
102	245	評鑑或裁判費	0214		0960523	
102	246	引言或主持費	0214		0960523	
102	247	演出費	0214		0960523	
102	248	志工餐點及交通補助	0214		0960523	
102	249	材料	0215		0960523	
102	250	消耗品	0215		0960523	
102	251	非消耗品	0215		0960523	
102	252	工作規劃聘請專業人士個案研究費	0216		0960523	BGT
102	253	委託機構或團體進行學術研究	0216		0960523	
102	254	委託團體代辦相關業務	0216		0960523	
102	255	專案核准加勤費	0217		0960523	
102	256	電腦耗材及維修	0218		0960523	
102	257	員工文康活動費	0219		0960523	
102	258	保險及健康檢查費	0219		0960523	
102	259	勞力外包	0220		0970415	BGT
102	260	押金	0220		0960523	
102	261	印刷	0220		0960523	
102	262	獎牌製作	0220		0960523	
102	263	廣告	0220		0960523	
102	264	交際費	0220		0960523	
102	265	禮品	0220		0960523	
102	266	餐費	0220		0960523	
102	267	環境佈置	0220		0960523	
102	268	環境清潔	0220		0960523	
102	269	保全	0220		0960523	
102	270	制服	0220		0960523	
102	271	訴訟費(律師費除外)	0220		0960523	
102	272	雜支	0220		0960523	
102	273	團體慰勞或獎勵費	0220		0960523	
102	274	特別費	0221		0960523	
102	275	公用房屋修繕費	0222		0960523	
102	276	租用辦公房屋養護費	0222		0960523	
102	277	宿舍養護費	0222		0960523	
102	278	其他建築養護費	0222		0960523	
102	279	車輛養護費	0223		0960523	
102	280	辦公機具養護費	0223		0960523	
102	281	公共設施養護費	0224		0960523	
102	282	特定儀器或設備養護費	0224		0960523	
102	283	國內市外出差旅費	0225		0960523	
102	284	赴大陸(含港、澳)出差旅費	0226		0960523	
102	285	赴國外出差旅費	0227		0960523	
102	286	公物運輸、裝卸及通行費	0228		0960523	
102	287	議員膳食費	0229		0960523	
102	288	議員交通費	0229		0960523	BGT
102	289	其他資訊服務	0230		0960523	BGT
102	290	資訊設備租金	0230		0960523	BGT
102	291	拘留人犯之給養費	0231		0960523	BGT
102	292	勞務服務費	0232		0960523	BGT
102	293	專業服務費	0232		0960523	BGT
102	301	土地	0301			
102	303	辦公建築物整修	0302		0960523	
102	304	警察消防辦公廳舍整修	0302		0960523	BGT
102	307	其他設施修建工程	0302		0960523	BGT
102	309	區民活動中心	0302		0960523	BGT
102	310	公民會館	0302		0960523	BGT
102	311	社會福利機構設施	0302		0960523	BGT
102	313	土地改良	0303		0960523	BGT
102	315	山坡整治	0303		0960523	BGT
102	318	公園	0303		0960523	BGT
102	319	路燈	0303		0960523	BGT
102	320	綠化工程	0303		0960523	BGT
102	322	道路	0303		0960523	BGT
102	323	雨水下水道	0303		0960523	BGT
102	324	污水下水道	0303		0960523	BGT
102	327	文化設施工程	0303		0960523	BGT
102	328	鄰里工程	0303		0960523	BGT
102	329	鄰里公園	0303		0960523	BGT
102	330	體育設施工程	0303		0960523	BGT
102	331	墓區整建工程	0303		0960523	BGT
102	333	焚化廠設施工程	0303		1000906	BGT
102	335	自來水設施工程	0303		0960523	BGT
102	336	水源特定區設施	0303		0960523	BGT
102	337	消防栓設施	0303		0960523	BGT
102	338	交通設施改善工程	0303		0960523	BGT
102	339	地區環境改造工程	0303		0960523	BGT
102	340	社區環境改造工程	0303		0960523	BGT
102	342	廣播設備	0304		0960523	
102	344	通訊儀器	0304		0960523	
102	345	機械設備	0304		0960523	
102	346	測試儀器	0304		0960523	
102	347	醫療器械	0304		0960523	
102	350	車輛	0305		0960523	
102	351	機車	0305		0960523	
102	352	警察消防車輛	0305		0960523	
102	353	警察消防機車	0305		0960523	
102	354	環保業務車輛	0305		0960524	
102	355	資訊硬體設備	0306		0960523	
102	356	資訊設備資本租賃	0306		0960523	
102	357	資訊軟體設備	0306		0960523	
102	359	資訊系統開發費	0306		0930504	BGT
102	360	圖書設備	0307		0960523	BGT
102	361	事務設備	0307		0960523	BGT
102	363	警察消防裝備	0307		0960523	BGT
102	365	增撥營業基金	0309		0960523	BGT
102	366	增撥非營業基金	0309		0960523	BGT
102	367	投資其他事業	0309		0960523	BGT
102	402	對民間團體之捐助	0401		0960523	
102	403	對學術團體之捐助	0401		0960523	
102	404	對文化公益事業之捐助	0401		0960523	
102	405	對外之捐助	0402		0960523	
102	406	短絀之填補	0403		0960523	
102	408	員工權益補償補助	0403		0960523	
102	410	學生公費、獎助學金	0404		0960523	
102	411	學生工讀金	0404		0960523	
102	412	對非屬公務人員給予之檢舉或獎勵金	0405		0960523	
102	413	退休人員及遺眷三節慰問金	0405		0960523	
102	414	退休人員及遺眷年終慰問金	0405		0960523	
102	415	因公傷亡員工遺族慰問金	0405		0960523	
102	416	其他特定人員慰問金	0405		0960523	
102	417	社會福利津貼(如老年農民福利津貼)	0406		0960523	
102	419	對(中)低收入戶之濟助	0406		0960523	BGT
102	420	對傷殘濟助	0406		0960523	
102	421	對失業濟助	0406		0960523	
102	422	對病患濟助	0406		0960523	
102	424	對特殊境遇婦女、危機家庭兒少之濟助	0406		0960523	BGT
102	425	市民災害救助	0406		0960523	
102	426	市民急難救助	0406		0960523	
102	428	收容及輔育機構就養費	0407		0960523	
102	429	收容及輔育機構就養費	0407		0960523	
102	430	處理公務發生之損失	0409		0960523	
102	431	處理公務發生之賠償	0409		0960523	
102	432	非現職人員優惠存款利息補貼	0410		0960523	
102	433	勞工建購住宅貸款利息差額補貼	0410		0960523	BGT
102	435	污水處理場回饋金	0412		0960523	BGT
102	436	焚化廠回饋金	0412		0960523	BGT
102	437	掩埋場回饋金	0412		0960523	BGT
102	438	其他回饋金	0412		0960523	BGT
102	439	社會保險政府應負擔之費用	0413		0960523	BGT
102	440	對個人之補助及捐助	0414		0960523	BGT
102	441	對地方公職或民意代表候選人之公費補助	0414		0960523	BGT
102	442	對貧困之濟助	0406		0960523	BGT
102	501	應付債借款利息支出	0501		0960523	
102	502	債券發行與債款還本付息手續費	0502			
102	601	第一預備金	0601			
102	602	第二預備金	0602			
102	603	災害準備金	0603		0940525	
102	901	土地(計畫型)	0301			
102	903	辦公建築物興建工程(計畫型)	0302		0960523	
102	904	警察消防辦公廳舍工程(計畫型)	0302		0960523	BGT
102	905	教室、活動中心(計畫型)	0302		0960523	BGT
102	910	社會福利機構設施(計畫型)	0302		0960523	BGT
102	914	土地改良(計畫型)	0303		0960523	BGT
102	915	河川工程(計畫型)	0303		0960523	BGT
102	916	山坡地整治(計畫型)	0303		0960523	BGT
102	919	公園(計畫型)	0303		0960523	BGT
102	920	路燈(計畫型)	0303		0960523	BGT
102	921	綠化工程(計畫型)	0303		0960523	BGT
102	922	橋樑(計畫型)	0303		0960523	BGT
102	923	道路(計畫型)	0303		0960523	BGT
102	924	雨水下水道(計畫型)	0303		0960523	BGT
102	925	污水下水道(計畫型)	0303		0960523	BGT
102	928	文化設施工程(計畫型)	0303		0960523	BGT
102	929	體育設施工程(計畫型)	0303		0960523	BGT
102	934	自來水設施工程(計畫型)	0303		0960523	BGT
102	936	交通設施改善工程(計畫型)	0303		0960523	BGT
102	940	古蹟房舍修護	0302		0960523	BGT
