borg	bgtyy	srcid	endyy	srcna	srcbr	prep	src0	src1	src12	src2	src3	src4	psrc4	org	cona	sysdat	usno
05113	104	220204015	099	檢測無尾熊反轉錄病毒與披衣菌的帶原等研究計畫	檢測無尾熊反轉錄病毒與披衣菌	1	6	007	007	02	04		007			0980812	BGT
05113	104	227102041	099	全園區遊客參觀疏運工程規劃	全園區遊客參觀疏運工程規劃	1	6	007	007	03	01		013			0980729	BGT
05113	104	227102042	099	昆蟲館鋼骨、採光罩外框及牆面噴石子除鏽油漆工程	昆蟲館鋼骨、採光罩外框及牆面噴	1	6	007	007	03	01		008			0980721	BGT
05113	104	227102043	099	全園區遊客參觀疏運工程規劃	全園區遊客參觀疏運工程規劃	1	6	007	007	03	01					0980511	BGT
05114	104	220101009	092	擴大社教工作會報	擴大社教工作會報	1	6	008	008	01	01					0980508	BGT
05112	104	220101016	099	臺北市國民小學對公共圖書館支援學校教學與圖書館研究	臺北市國民小學對公共圖書館支究	1	6	006	006	01	01		012			1020319	BGT
05112	104	227102013	092	南港分館大樓改建工程	南港分館大樓改建工程	1	6	006	006	04	01		001			0990407	BGT
05113	104	220201035	098	第2屆兩岸三地大貓熊保育教育學術研討會	第2屆兩岸三地大貓熊保育教育學	1	6	007	007	02	01		008			0990326	BGT
05113	104	220201036	098	臺北市立動物園巨猿科(Pongidae)行為豐富化研究	臺北市立動物園巨猿科(Pongidae)	1	6	007	007	02	01		009			0990326	BGT
05113	104	220203021	092	2011亞洲動物園教育者研討會(AZEC)	2011亞洲動物園教育者研討會(AZE	1	6	007	007	02	03		012			0990330	BGT
05113	104	220206010	092	園外服務中心管理維護業務	園外服務中心管理維護業務	1	6	007	007	02	06		007			0990401	BGT
22101	105	227103000	092	交通及運輸設備	交通及運輸設備	1	6	020	020	03	03					1030709	BGT
22101	105	223900000	093	接受補助業務支出	接受補助業務支出	1	6	020	020	05						1010817	BGT
22101	105	223901000	093	接受中央政府補助業務支出	接受中央政府補助業務支出	1	6	020	020	05	01					1020122	BGT
22101	105	223901001	093	臺北市北投運動中心ROT案前置作業計畫	臺北市北投運動中心ROT案前置作	1	6	020	020	05	01					1010603	BGT
22101	105	223901002	093	2017世大運籌辦管理研討會	2017世大運籌辦管理研討會	1	6	020	020	05	01					1010603	BGT
22101	105	223901003	093	2017世大運六年中長期計畫撰擬	2017世大運六年中長期計畫撰擬	1	6	020	020	05	01					1010603	BGT
22101	105	223901004	093	2017世大運場館初檢計畫	2017世大運場館初檢計畫	1	6	020	020	05	01					1010603	BGT
22101	105	223901005	093	2017世大運官方網站建置計畫	2017世大運官方網站建置計畫	1	6	020	020	05	01					1010603	BGT
22101	105	223901006	093	2017世大運籌備工作大綱及細部執行計畫	2017世大運籌備工作大綱及細部執	1	6	020	020	05	01					1010603	BGT
22101	105	223901007	093	2017世大運國內市場調查研究計畫	2017世大運國內市場調查研究計畫	1	6	020	020	05	01					1010603	BGT
05113	104	227102044	099	河馬展示場更新工程	河馬展示場更新工程	1	6	007	007	03	01		002			0990403	BGT
05113	104	227102045	099	69KV變壓器汰換工程	69KV變壓器汰換工程	1	6	007	007	03	01		005			0990403	BGT
05113	104	227102046	099	園區地坪、廁所等維護修繕工程	園區地坪、廁所等維護修繕工程	1	6	007	007	03	01		006			0990403	BGT
05113	104	227102047	099	方舟劇場改善工程	方舟劇場改善工程	1	6	007	007	03	01		016			0990403	BGT
05113	104	227102048	099	非洲區靈長類工作準備室工程	非洲區靈長類工作準備室工程	1	6	007	007	03	01		007			0990403	BGT
05113	104	227102049	099	館舍防漏整修工程	館舍防漏整修工程	1	6	007	007	03	01		008			0990403	BGT
05113	104	227102050	099	全園廣播系統更新工程	全園廣播系統更新工程	1	6	007	007	03	01		009			0990403	BGT
05113	104	227102051	099	臺北市立動物園育成中心規劃案	臺北市立動物園育成中心規劃案	1	6	007	007	03	01		011			0990403	BGT
05113	104	227102052	099	金剛猩猩環境豐富化與場地改善工程	金剛猩猩環境豐富化與場地改善工	1	6	007	007	03	01		010			0990403	BGT
05112	104	220202003	092	「黎明就業專案」之臺北最美友善城市促進就業計畫	「黎明就業專案」之臺北最美友善	1	6	006	006	02	02					0991018	BGT
05117	104	220201013	100	「黎明就業專案」之臺北最美友善城市促進就業計畫	「黎明就業專案」之臺北最美友	1	6	009	009	02	01					0991025	BGT
05112	104	220101017	099	臺北市教育年鑑(民國101年~102年)	臺北市教育年鑑(民國101年~102)	1	6	006	006	01	01		010			1020319	BGT
05112	104	220101018	099	臺北市立圖書館讀者數位閱讀行為調查研究	臺北市立圖書館讀者數位閱讀行究	1	6	006	006	01	01		009			1030410	BGT
05113	104	220201037	098	臺北市立動物園老虎行為豐富化研究	臺北市立動物園老虎行為豐富化研	1	6	007	007	02	01		012			1000430	BGT
05113	104	220201038	098	臺灣特有種藍腹鷴人工孵化技術建立及幼雛回歸之研究	臺灣特有種藍腹鷴人工孵化技術建	1	6	007	007	02	01		011			1000430	BGT
05113	104	220201039	098	2012年東南亞動物園暨水族館協會年會	2012年東南亞動物園暨水族館協會	1	6	007	007	02	01		013			1000512	BGT
05113	104	220201040	098	2012年第1屆亞洲野生動物域外保育族群管理研討會	2012年第1屆亞洲野生動物域外	1	6	007	007	02	01		010			1000512	BGT
05113	104	220203022	092	2012年SEAZA東南亞動物園暨水族館教育工作坊	2012年SEAZA東南亞動物園暨水族	1	6	007	007	02	03		013			1000501	BGT
05113	104	220204016	099	2012年東南亞動物園獸醫專業醫療訓練課程	2012年東南亞動物園獸醫專業醫療	1	6	007	007	02	04		007			1000513	BGT
05113	104	220205009	098	賣站管理業務	賣站管理業務	1	6	007	007	02	05		007			1000501	BGT
05113	104	220205010	098	園外服務中心短期管理專案業務	園外服務中心短期管理專案業務	1	6	007	007	02	05		008			1000501	BGT
05113	104	220206011	092	勞安業務及空氣品質改善業務	勞安業務及空氣品質改善業務	1	6	007	007	02	06		008			1000501	BGT
05113	104	227102053	099	園區水保設施體檢計畫勞務案	園區水保設施體檢計畫勞務案	1	6	007	007	03	01		009			1000501	BGT
05117	104	220000000	097	文化支出	文化支出	1	6	009	009							1010807	BGT
05113	104	227102054	099	爬蟲館空調系統汰換工程	爬蟲館空調系統汰換工程	1	6	007	007	03	01		004			1000501	BGT
05113	104	227102055	099	企鵝館展示場地玻璃及防水層更新工程	企鵝館展示場地玻璃及防水層更新	1	6	007	007	03	01		017			1000501	BGT
05113	104	227102056	099	特高壓電力系統設備汰換工程	特高壓電力系統設備汰換工程	1	6	007	007	03	01		005			1000501	BGT
05113	104	227102057	099	貓科動物空間改善規劃案	貓科動物空間改善規劃案	1	6	007	007	03	01		004			1000501	BGT
05113	104	227102058	099	展場動物用水池修漏工程	展場動物用水池修漏工程	1	6	007	007	03	01		006			1000501	BGT
02126	105	137102029	105	大龍社區及市場重建工程	大龍社區及市場重建工程	1	3	007	007	04	01		004			1040807	BGT
05113	104	227102059	099	動物作業區AC地坪鋪設及改善工程	動物作業區AC地坪鋪設及改善工程	1	6	007	007	03	01		021			1000501	BGT
05113	104	227102060	099	非洲區靈長類隔離欄舍及展示區域房舍雨水滲漏改善工程	非洲區靈長類隔離欄舍及展示區域	1	6	007	007	03	01		007			1000512	BGT
05113	104	227102061	099	太陽光電發電系統工程	太陽光電發電系統工程	1	6	007	007	03	01		008			1000512	BGT
05113	104	227102062	099	生命之河園區新建工程	生命之河園區新建工程	1	6	007	007	03	01					1000501	BGT
05113	104	227102063	099	非洲區草食獸圍籬及遮蔭設施改善工程	非洲區草食獸圍籬及遮蔭設施改善	1	6	007	007	03	01		006			1000501	BGT
05113	104	227102064	099	園區建築物耐震補強工程委託設計案	園區建築物耐震補強工程委託設計	1	6	007	007	03	01		010			1000802	BGT
05113	104	227102065	099	臺北市立動物園入口收費系統改善工程規劃案	臺北市立動物園入口收費系統改善	1	6	007	007	03	01		013			1000511	BGT
05113	104	227102066	099	臺北水族館新建工程規劃案	臺北水族館新建工程規劃案	1	6	007	007	03	01		012			1000802	BGT
05112	104	220202004	092	「希望就業專案」之悅讀樂活打造活力健康臺北就業促進	「希望就業專案」之就業計畫	1	6	006	006	02	02					1001230	BGT
05113	104	220203024	102	102年度擴大社教工作會報	102年度擴大社教工作會報	1	6	007	007	02	03					1010503	BGT
05113	104	220203025	102	臺北市立動物園建園百周年慶籌備計畫	臺北市立動物園建園百周年慶籌備	1	6	007	007	02	03		012			1020430	BGT
05113	104	220204017	099	靈長類動物牙科影像學研究計畫	靈長類動物牙科影像學研究計畫	1	6	007	007	02	04		007			1010503	BGT
05113	104	227102067	099	動物醫院空調系統汰換工程	動物醫院空調系統汰換工程	1	6	007	007	03	01		014			1010503	BGT
05113	104	227102068	099	爬蟲館電力系統改善及中央監控系統工程	爬蟲館電力系統改善及中央監控系	1	6	007	007	03	01		015			1010503	BGT
05113	104	227102069	099	企鵝館空調系統汰換工程	企鵝館空調系統汰換工程	1	6	007	007	03	01		016			1010503	BGT
05113	104	220201041	098	野生動物域外保育族群管理研討會	野生動物域外保育族群管理研討會	1	6	007	007	02	01		008			1020508	BGT
05113	104	220201042	098	本土重點瀕危物種復育及族群管理	本土重點瀕危物種復育及族群管理	1	6	007	007	02	01		009			1010503	BGT
06103	105	318300000	092	接受補助建設支出	接受補助建設支出	1	7	003	003	07						0990709	BGT
06103	105	318302000	092	接受中央各部會補助建設支出	接受中央各部會補助建設支出	1	7	003	003	07	01					1010509	BGT
06103	105	313900000	092	接受補助業務支出	接受補助業務支出	1	7	003	003	06						0990709	BGT
06103	105	313902000	092	接受中央各部會補助業務支出	接受中央各部會補助業務支出	1	7	003	003	06	01					1020510	BGT
06103	105	313902001	092	違法屠宰行為查緝計劃	違法屠宰	1	7	003	003	06	01					0970730	
06103	105	313902002	092	穩定夏季蔬菜供需計劃	穩定夏季蔬菜供需計劃	1	7	003	003	06	01					0970730	
06103	105	313902003	092	家禽產業結構先期調整計劃	家禽產業結構先期調整計劃	1	7	003	003	06	01					0970730	
06103	105	313902004	092	91年度「違法屠宰行為查緝計畫」追加計畫	「違法屠宰行為查緝計畫」	1	7	003	003	06	01					0970730	
06103	105	313902005	092	辦理菸品健康福利捐供私劣菸品查緝工作計畫	辦理菸品健康福利捐供私劣菸品查	1	7	003	003	06	01					0980420	BGT
06103	105	313902006	092	臺北最美友善城市促進就業計畫	臺北最美友善城市促進就業計	1	7	003	003	06	01					0990420	BGT
06103	105	318301000	104	接受中央政府補助建設支出	接受中央政府補助建設支出	1	7	003	003	07	02					1030926	BGT
06104	105	347102000	092	營建工程	營建工程	1	10	002	002	06	03					1030710	BGT
06104	105	347102001	092	鵬程大樓外牆翻新防水透氣塗料暨屋頂防水透氣工程	鵬程大樓外牆翻新防水透氣塗料	1	10	002	002	06	03		001			1020328	BGT
06104	105	343900000	098	接受補助業務支出	接受補助業務支出	1	10	002	002	07						0990705	BGT
06104	105	343902000	098	接受中央各部會補助業務支出	接受中央各部會補助業務支出	1	10	002	002	07	01					0990107	BGT
06104	105	343902001	098	辦理菸品健康福利捐供私劣菸品查緝工作計畫	辦理菸品健康福利捐供私劣菸品畫	1	10	002	002	07	01					1000523	BGT
06104	105	347102002	092	商圈入口意象型塑計畫-第二期	商圈入口意象型塑計畫-第二期	1	10	002	002	06	03		002			1020322	BGT
06103	105	317102035	103	萬大漁市華中橋下臨時中繼拍賣場工程	萬大漁市華中橋下臨時中繼拍賣場	1	7	003	003	03	01					1040723	BGT
06103	105	317102036	103	萬大漁類批發市場改建工程	萬大漁類批發市場改建工程	1	7	003	003	03	01					1040723	BGT
06102	105	313900000	095	接受補助業務支出	接受補助業務支出	1	7	002	002	06						0940817	BGT
06102	105	313902000	095	接受中央各部會補助業務支出	接受中央各部會補助業務支出	1	7	002	002	06	01					1030501	BGT
06102	105	313902001	095	改善公立動物收容所計畫	改善公立動物收容所計畫	1	7	002	002	06	01					0990307	BGT
07101	105	320000000	092	工業支出	工業支出	1	8	002	002							0970805	
07101	105	320100000	092	一般行政	一般行政	1	8	002	002	1						0970805	
07101	105	320101000	092	行政管理	行政管理	1	8	002	002	1	1					0970805	
07101	105	320200000	092	工務行政	工務行政	1	8	002	002	2						0970805	
07101	105	320201000	092	工務管理	工務管理	1	8	002	002	2	1					0970805	
07101	105	324100000	092	第一預備金	第一預備金	2	8	002	002	05						0970805	
07101	105	324101000	092	第一預備金	第一預備金	2	8	002	002	05	1					0970805	
07101	105	327100000	092	建築及設備	建築及設備	1	8	002	002	03						0970805	
07101	105	327104000	092	其他設備	其他設備	1	8	002	002	03	01					1040325	BGT
07101	105	330000000	092	交通支出	交通支出	1	9	001	001							0970805	
07101	105	338200000	092	用地補償	用地補償	1	9	001	001	04						0970805	
07101	105	338201000	092	公共用地補償	公共用地補償	1	9	001	001	04	1					0970805	
07101	105	320101001	092	人員維持費	人員維持費	1	8	002	002	1	1					0970805	
07101	105	320101002	092	一般業務	一般業務	1	8	002	002	1	1					0970805	
07101	105	320101003	092	會計業務	會計業務	1	8	002	002	1	1					0970805	
07101	105	320101004	092	統計業務	統計業務	1	8	002	002	1	1					0970805	
07101	105	320101005	092	人事業務	人事業務	1	8	002	002	1	1					0970805	
07101	105	320101006	092	政風業務	政風業務	1	8	002	002	1	1					0970805	
07101	105	320101007	092	工程材料試驗	工程材料試驗	1	8	002	002	1	1					0970808	
07101	105	320101008	092	資訊業務	資訊業務	1	8	002	002	1	1					0970805	
07101	105	320201001	092	人員維持費	人員維持費	1	8	002	002	2	1					0970805	
07101	105	320201002	092	土木建築工程督導考核業務	土木建築工程督導考核業務	1	8	002	002	2	1					0970805	
07101	105	338201001	092	補償費準備	補償費準備	1	9	001	001	04	1					0970805	
07102	105	310000000	092	農業支出	農業支出	1	7	004	004							1010320	BGT
07102	105	317600000	092	環境衛生及河川工程	環境衛生及河川工程	1	7	004	004	04						0950713	BGT
07102	105	317602000	092	河川工程	河川工程	1	7	004	004	04	01					0900525	BGT
07102	105	317602001	092	河川工程	河川工程	1	7	004	004	04	01					0900525	BGT
07102	105	317602002	092	工程規劃	工程規劃	1	7	004	004	04	01					0950607	BGT
07103	105	330000000	092	交通支出	交通支出	1	9	002	002							0990629	BGT
07103	105	330100000	092	一般行政	一般行政	1	9	002	002	01						0970805	
07103	105	330101000	092	行政管理	行政管理	1	9	002	002	01	01					0970805	
07103	105	330101001	092	人員維持費	人員維持費	1	9	002	002	01	01					0970805	
07103	105	330101002	092	一般業務	一般業務	1	9	002	002	01	01					0970805	
07103	105	330101003	092	會計業務	會計業務	1	9	002	002	01	01					0970805	
07103	105	330101004	092	人事業務	人事業務	1	9	002	002	01	01					0970805	
07103	105	330101005	092	政風業務	政風業務	1	9	002	002	01	01					0970805	
07103	105	330101006	092	資訊業務	資訊業務	1	9	002	002	01	01					0970805	
07103	105	337100000	092	建築及設備	建築及設備	1	9	002	002	03						0970820	BGT
07103	105	337102000	095	營建工程	營建工程	1	9	002	002	03	01					0970805	
07103	105	337103000	092	交通及運輸設備	交通及運輸設備	1	9	002	002	03	02					0970805	
07103	105	337104000	092	其他設備	其他設備	1	9	002	002	03	03					0970805	
07103	105	337500000	092	道路橋樑工程	道路橋樑工程	1	9	002	002	04						1030318	BGT
07103	105	337501000	092	道路及橋樑工程	道路及橋樑工程	1	9	002	002	04	01					0980416	BGT
07103	105	337501001	092	道路工程	道路工程	1	9	002	002	04	01		002			1040302	BGT
07103	105	337501002	092	橋樑工程	橋樑工程	1	9	002	002	04	01		003			1040302	BGT
07103	105	337501003	092	工程規劃設計	工程規劃設計	1	9	002	002	04	01		004			1040302	BGT
07104	105	510000000	092	社區發展支出	社區發展支出	1	16	013	013							0970811	
07104	105	510100000	092	一般行政	一般行政	1	16	013	013	01						0970811	
07104	105	510200000	092	公園綠地及園藝管理	公園綠地及園藝管理	1	16	013	013	02						0970811	
07104	105	510201000	092	公園綠地及園藝維護	公園綠地及園藝維護	1	16	013	013	02	01					0970811	
07104	105	330000000	092	交通支出	交通支出	1	9	003	003							0990708	BGT
07104	105	330400000	092	路燈管理	路燈管理	1	9	003	003	03						0970811	
07104	105	330401000	092	路燈維護	路燈維護	1	9	003	003	03	01					0970811	
07104	105	510101000	092	行政管理	行政管理	1	16	013	013	01	01					0970811	
07104	105	330401001	092	人員維持費	人員維持費	1	9	003	003	03	01					0970811	
07104	105	330401002	092	路燈維護業務	路燈維護業務	1	9	003	003	03	01					0970811	
07104	105	510101001	092	人員維持費	人員維持費	1	16	013	013	01	01					0970811	
07104	105	510101002	092	一般業務	一般業務	1	16	013	013	01	01					0970811	
07104	105	510101003	092	會計業務	會計業務	1	16	013	013	01	01					0970811	
07104	105	510101004	092	人事業務	人事業務	1	16	013	013	01	01					0970811	
07104	105	510101005	092	政風業務	政風業務	1	16	013	013	01	01					0970811	
07104	105	510101006	092	資訊業務	資訊業務	1	16	013	013	01	01					0970811	
07104	105	510201001	092	人員維持費	人員維持費	1	16	013	013	02	01		001			0970811	
07104	105	510201002	092	公園綠化維護及綠資源業務	公園綠化維護及綠資源業務	1	16	013	013	02	01		003			1040408	BGT
07104	105	517100000	092	建築及設備	建築及設備	1	16	013	013	04						0970811	
07104	105	517103000	092	交通及運輸設備	交通及運輸設備	1	16	013	013	04	02					0970811	
07104	105	517103001	092	設備及投資	設備及投資	1	16	013	013	05	02					0970808	
07104	105	517102000	092	營建工程	營建工程	1	16	013	013	04	01					0970811	
07104	105	517102001	092	公園更新工程	公園更新工程	1	16	013	013	04	01					0970811	
07104	105	517104000	092	其他設備	其他設備	1	16	013	013	04	03					0970811	
07104	105	517104001	092	設備及投資	設備及投資	1	16	013	013	04	03					0970811	
07104	105	517700000	092	公園綠化及風景區工程	公園綠化及風景區工程	1	16	013	013	05						0970811	
07104	105	517701000	092	公園及綠化工程	公園及綠化工程	1	16	013	013	05	01					0970811	
07104	105	517701001	092	公園工程	公園工程	1	16	013	013	05	01		002			0970811	
07104	105	337800000	092	路燈工程	路燈工程	1	9	003	003	06						0970811	
07104	105	337801000	092	路燈整建及新設工程	路燈整建及新設工程	1	9	003	003	06	01					0970811	
07104	105	337801001	092	路燈整建工程	路燈整建工程	1	9	003	003	06	01		003			0970811	
07104	105	510101007	092	新購車輛相關費用	新購車輛相關費用	1	16	013	013	01	01					0970808	
07102	105	317602003	092	上年度河川工程計畫預算數	上年度河川工程計畫預算數	1	7	004	004	04	01					0910730	BGT
07104	105	517701002	092	綠化工程	綠化工程	1	16	013	013	05	01		003			0970811	
07104	105	337801002	092	路燈新設工程	路燈新設工程	1	9	003	003	06	01		004			0970811	
07104	105	517102002	092	其他修建工程	其他修建工程	1	16	013	013	04	01					0970811	
07103	105	337102001	095	房屋興建工程	房屋興建工程	1	9	002	002	03	01					0970805	
07104	105	337801003	092	LED照明裝設工程	LED照明裝設工程	1	9	003	003	06	01		005			1030304	BGT
07104	105	337801004	092	河濱公園路燈新設工程	河濱公園路燈新設工程	1	9	003	003	06	01		004			1040313	BGT
07104	105	337801005	092	電力公司線路補助費	電力公司線路補助費	1	9	003	003	06	01		002			0980420	BGT
07101	105	320201003	096	水利工程督導考核業務	水利工程督導考核業務	1	8	002	002	2	1					0970805	
07101	105	320201004	096	公園大地督導考核及補償處理業務	公園大地督導考核及補償處理業務	1	8	002	002	2	1					1020809	BGT
07101	105	320201005	096	採購管理業務	採購管理業務	1	8	002	002	2	1					0970805	
07101	105	320201006	096	品管及勞安業務	品管及勞安業務	1	8	002	002	2	1					1010501	BGT
07104	105	510201003	092	綠地及行道樹維護業務	綠地及行道樹維護業務	1	16	013	013	02	01		004			0970811	
07104	105	510201004	092	樹苗及花卉培育業務	樹苗及花卉培育業務	1	16	013	013	02	01		005			0970811	
07104	105	510201005	092	花卉栽培及庭園示範業務	花卉栽培及庭園示範業務	1	16	013	013	02	01		005			0970811	
07104	105	510201006	092	花卉研究及展示業務	花卉研究及展示業務	1	16	013	013	02	01		006			0970811	
07104	105	510201007	092	一般業務	一般業務	1	16	013	013	02	01		002			0970811	
07103	105	330200000	096	工務行政	工務行政	1	9	002	002	02						0970805	
07103	105	330201000	096	工程管理	工程管理	1	9	002	002	02	01					0970805	
07103	105	330201001	096	人員維持費	人員維持費	1	9	002	002	02	01					0970805	
07103	105	330201002	096	道路養護	道路養護	1	9	002	002	02	01					0970805	
07103	105	330201003	096	橋涵養護	橋涵養護	1	9	002	002	02	01					0970805	
07103	105	330201004	096	機械維護	機械維護	1	9	002	002	02	01					0970805	
07103	105	337102002	095	其他修建工程	其他修建工程	1	9	002	002	03	01					0970805	
07103	105	330201005	096	工程發包及履約管理	工程發包及履約管理	1	9	002	002	02	01					0970805	
07103	105	330201006	096	工程品質管理	工程品質管理	1	9	002	002	02	01					0970805	
07103	105	330201007	096	工程規劃設計業務	工程規劃設計業務	1	9	002	002	02	01					0970805	
07103	105	330201008	096	土地管理	土地管理	1	9	002	002	02	01					0970805	
07103	105	330201009	096	機電工程設計業務	機電工程設計業務	1	9	002	002	02	01					0970805	
07103	105	330201010	096	道路挖掘管理業務	道路挖掘管理業務	1	9	002	002	02	01					0970805	
07103	105	330201011	096	道路管理維護業務	道路管理維護業務	1	9	002	002	02	01					0970805	
07103	105	330201012	096	建築規劃設計業務	建築規劃設計業務	1	9	002	002	02	01					0970805	
07102	105	310100000	092	一般行政	一般行政	1	7	004	004	01						1010320	BGT
07102	105	310101000	092	行政管理	行政管理	1	7	004	004	01	01					0950605	BGT
07102	105	310101001	092	人員維持費	人員維持費	1	7	004	004	01	01					0950605	BGT
