bgtyy	statcd	statna	obj	stdcd	sysdat	usno
106	225	專利權使用費	0209		0960523	
106	226	智慧財產權使用費	0209		0960523	
106	228	船舶用油	0210		0960523	
106	229	車輛用油	0210		0960523	
106	230	機械設備用油	0210		0960523	
106	231	外勤誤餐費	0211		0960523	
106	232	外勤交通費	0211		0960523	
106	233	國際組織會費	0233		1050419	
106	234	國內組織會費	0234		1050419	BGT
106	235	兼職費	0213		0970415	
106	236	委聘律師公費	0214		0960523	
106	237	委聘會計師公費	0214		0960523	
106	238	委聘其他專技人員公費	0214		0960523	
106	239	顧問費	0214		0960523	
106	240	聘請學者專家出席費	0214		0960523	
106	241	地方人士出席專案會議交通費	0214		0960523	
106	242	講座鐘點費	0214		0960523	
106	243	稿費及編輯費	0214		0960523	
106	244	考試及其他作業費	0214		0960523	
106	245	評鑑或裁判費	0214		0960523	
106	246	引言或主持費	0214		0960523	
106	247	演出費	0214		0960523	
106	248	志工餐點及交通補助	0214		0960523	
106	249	材料	0215		0960523	
106	250	消耗品	0215		0960523	
106	251	非消耗品	0215		0960523	
106	252	工作規劃聘請專業人士個案研究費	0216		0960523	BGT
106	253	委託機構或團體進行學術研究	0216		0960523	
106	254	委託機構或團體代辦相關業務	0216		1020703	
106	255	專案核准加勤費	0214		1050419	
106	256	電腦耗材及維修	0218		0960523	
106	257	員工文康活動費	0220		1040427	
106	258	保險及健康檢查費	0220		1050419	
106	259	勞力外包	0220		0970415	BGT
106	261	印刷	0220		0960523	
106	262	獎牌製作	0220		0960523	
106	263	廣告	0220		0960523	
106	264	交際費	0220		0960523	
106	265	禮品	0220		0960523	
106	266	餐費	0220		0960523	
106	267	環境佈置	0220		0960523	
106	268	環境清潔	0220		0960523	
106	269	保全	0220		0960523	
106	270	制服	0220		0960523	
106	271	訴訟費(律師費除外)	0220		0960523	
106	272	雜支	0220		0960523	
106	273	團體慰勞或獎勵費	0220		0960523	
106	274	特別費	0221		0960523	
106	275	公用房屋養護費	0222		1020703	
106	276	租用辦公房屋養護費	0222		0960523	
106	277	宿舍養護費	0222		0960523	
106	278	其他建築養護費	0222		0960523	
106	279	車輛養護費	0223		0960523	
106	280	辦公機具養護費	0223		0960523	
106	281	公共設施養護費	0224		0960523	
106	282	特定儀器或設備養護費	0224		0960523	
106	283	國內市外出差旅費	0225		0960523	
106	284	赴大陸(含港、澳)出差旅費	0226		0960523	
106	285	赴國外出差旅費	0227		0960523	
106	286	公物運輸、裝卸及通行費	0228		0960523	
106	287	議員膳食費	0229		0960523	
106	288	議員交通費	0229		0960523	BGT
106	289	其他資訊服務	0230		0960523	BGT
106	290	資訊設備租金	0230		0960523	BGT
106	291	拘留人犯之給養費	0231		0960523	BGT
106	292	勞務服務費	0232		0960523	BGT
106	293	專業服務費	0232		0960523	BGT
106	294	資訊用品及零組件	0215		1050502	BGT0
106	301	土地	0301			
106	302	地上(下)物拆遷補償	0301		0960523	
106	303	辦公建築物整修	0302		0960523	
106	304	警察消防辦公廳舍整修	0302		0960523	BGT
106	305	教室、活動中心整修	0302		0960523	BGT
106	307	其他設施修建工程	0302		0960523	BGT
106	309	區民活動中心	0302		0960523	BGT
106	310	公民會館	0302		0960523	BGT
106	311	社會福利機構設施	0302		0960523	BGT
106	312	警消人員宿舍整修	0302		0960523	BGT
106	313	土地改良	0303		0960523	BGT
106	315	山坡整治	0303		0960523	BGT
106	316	游泳池整修	0303		0960523	BGT
106	318	公園	0303		0960523	BGT
106	320	綠化工程	0303		0960523	BGT
106	322	道路	0303		0960523	BGT
106	323	雨水下水道	0303		0960523	BGT
106	324	污水下水道	0303		0960523	BGT
106	327	文化設施工程	0303		0960523	BGT
106	328	鄰里工程	0303		0960523	BGT
106	329	鄰里公園	0303		0960523	BGT
106	330	體育設施工程	0303		0960523	BGT
106	331	墓區整建工程	0303		0960523	BGT
106	333	焚化廠設施工程	0303		1000906	BGT
106	334	掩埋設施工程	0303		0960523	BGT
106	335	自來水設施工程	0303		0960523	BGT
106	337	消防栓設施	0303		0960523	BGT
106	338	交通設施改善工程	0303		0960523	BGT
106	339	地區環境改造工程	0303		0960523	BGT
106	340	社區環境改造工程	0303		0960523	BGT
106	342	廣播設備	0304		0960523	
106	344	通訊設備	0304		1020703	
106	345	機械設備	0304		0960523	
106	346	測試儀器	0304		0960523	
106	347	醫療器械	0304		0960523	
106	348	船舶	0305		0960523	
106	350	車輛	0305		0960523	
106	351	機車	0305		0960523	
106	352	警察消防車輛	0305		0960523	
106	353	警察消防機車	0305		0960523	
106	354	環保業務車輛	0305		0960524	
106	355	資訊硬體設備	0306		0960523	
106	357	資訊軟體設備	0306		0960523	
106	359	資訊系統開發費	0306		0930504	BGT
106	360	圖書設備	0307		0960523	BGT
106	361	事務設備	0307		0960523	BGT
106	363	警察消防裝備	0307		0960523	BGT
106	366	增撥非營業基金	0309		0960523	BGT
106	402	對民間團體之捐助	0401		0960523	
106	403	對學術團體之捐助	0401		0960523	
106	404	對文化公益事業之捐助	0401		0960523	
106	405	對外之捐助	0402		0960523	
106	406	短絀之填補	0403		0960523	
106	408	員工權益補償補助	0403		0960523	
106	410	學生公費、獎助學金	0404		0960523	
106	411	學生工讀金	0404		0960523	
106	412	對非屬公務人員給予之檢舉或獎勵金	0405		0960523	
106	413	退休人員及遺眷三節慰問金	0405		0960523	
106	416	其他特定人員慰問金	0405		0960523	
106	417	社會福利津貼(如老年農民福利津貼)	0406		0960523	
106	419	對(中)低收入戶之濟助	0406		0960523	BGT
106	420	對傷殘濟助	0406		0960523	
106	421	對失業濟助	0406		0960523	
106	422	對病患濟助	0406		0960523	
106	424	對特殊境遇婦女、危機家庭兒少之濟助	0406		0960523	BGT
106	425	市民災害救助	0406		0960523	
106	426	市民急難救助	0406		0960523	
106	428	收容及輔育機構就養費	0407		0960523	
106	429	收容及輔育機構醫療費	0407		1020703	
106	430	處理公務發生之損失	0409		0960523	
106	431	處理公務發生之賠償	0409		0960523	
106	432	非現職人員優惠存款利息補貼	0410		0960523	
106	433	勞工建購住宅貸款利息差額補貼	0410		0960523	BGT
106	435	污水處理場回饋金	0412		0960523	BGT
106	436	焚化廠回饋金	0412		0960523	BGT
106	437	掩埋場回饋金	0412		0960523	BGT
106	438	其他回饋金	0412		0960523	BGT
106	439	社會保險政府應負擔之費用	0413		0960523	BGT
106	440	對個人之補助及捐助	0414		0960523	BGT
106	441	對地方公職或民意代表候選人之公費補助	0414		0960523	BGT
106	442	對貧困濟助	0406		1020703	BGT
106	443	其他	0414		1030417	BGT0
106	501	應付債借款利息支出	0501		0960523	
106	502	債券發行與債款還本付息手續費	0502			
106	601	第一預備金	0601			
106	602	第二預備金	0602			
106	603	災害準備金	0603		0940525	
106	901	土地(計畫型)	0301			
106	902	地上(下)物拆遷補償(計畫型)	0301			
106	903	辦公建築物興建工程(計畫型)	0302		0960523	
106	904	警察消防辦公廳舍工程(計畫型)	0302		0960523	BGT
106	907	市場(計畫型)	0302		0960523	BGT
106	910	社會福利機構設施(計畫型)	0302		0960523	BGT
106	914	土地改良(計畫型)	0303		0960523	BGT
106	915	河川工程(計畫型)	0303		0960523	BGT
106	916	山坡地整治(計畫型)	0303		0960523	BGT
106	919	公園(計畫型)	0303		0960523	BGT
106	920	路燈(計畫型)	0303		0960523	BGT
106	921	綠化工程(計畫型)	0303		0960523	BGT
106	922	橋樑(計畫型)	0303		0960523	BGT
106	923	道路(計畫型)	0303		0960523	BGT
106	924	雨水下水道(計畫型)	0303		0960523	BGT
106	925	污水下水道(計畫型)	0303		0960523	BGT
106	929	體育設施工程(計畫型)	0303		0960523	BGT
106	930	墓區整建工程(計畫型)	0303		0960523	BGT
106	936	交通設施改善工程(計畫型)	0303		0960523	BGT
106	941	機械設備(計畫型)	0304		1050520	BGT0
