pageno	times	org1	pdept	bgtyy	org	item	srcid	obj	seq	acod	sdate	edate	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	note	icd	udept	acd	kort	sysdat	usno
2-14-16	0	02121		101	02121	1	040202		002	依據臺北市政府財政局77.7.5府財一字第228028號函辦理	1010101	1011231	年	1		0		0		0	1	844721	844721	844721	844721	1.地下停車場本行政中心員工車位：¶  1,100元*26車位*12月=343,200元。¶2.夜間對外營收承租率以52.6%計算：¶　1,100元*(19車位*0.526)*12月¶  =131,921元。¶3.短停洽公逾時收費計算方式：30元*5¶  車位*22天*12月=39,600元。¶4.龍田區民活動中心地下停車場車位：¶  3,500元*3車位*12月=126,000元。¶5.自強區民活動中心地下停車場車位:¶  3,000元*1車位*12月=36,000元。¶6.精忠區民活動中心地下停車場車位:¶  3,500元*4車位*12月=168,000元。					1000401	
2-14-16	0	02121		101	02121	1	040202		003	依據臺北市各區活動中心設置管理要點辦理	1010101	1011231	年	1		0		0		0	1	4820000	4761200	4820000	4820000	本區各區民活動中心場地出借收入明細如下：¶1.民有區民活動中心1,250元*1年*700次¶  =875,000元。¶2.精忠區民活動中心350元*1年*400次¶  =140,000元。¶3.鵬程區民活動中心1,500元*1年*160次¶  =240,000元。¶4.民權區民活動中心1,100元*1年*200次¶  =220,000元。¶5.中正區民活動中心1,250元*1年*400次¶  =500,000元。¶6.敦化區民活動中心350元*1年*400次¶  =140,000元。¶7.三民區民活動中心350元*1年*750次¶  =262,500元。¶8.復建區民活動中心250元*1年*400次¶  =100,000元。¶9.安平區民活動中心250元*1年*600次¶  =150,000元。¶10.復盛區民活動中心350元*1年*600次¶   =210,000元。¶11.龍田區民活動中心1,250元*1年*160次¶   =200,000元。¶12.自強區民活動中心750元*1年*200次¶   =150,000元。¶13.新聚區民活動中心750元*1年*120次¶   =90,000元。¶14.民福區活動中心250元*1年*150次¶   =37,500元。¶15.全年度電費收入1,306,700元、水費¶   收入198,300元。					1000822	
2-14-17	0	02121		101	02121	1	040202		004	依據臺北市各區行政中心禮堂場地管理要點規定辦理	1010101	1011231	次	5		0		0		0	5	5250	26250	26250	26250	行政中心大禮堂場地出借收入。					0010/20	
2-14-17	0	02121		101	02121	1	040202		005	依據臺北市市有公用房地提供使用辦法規定辦理	1010101	1011231	月	12		0		0		0	12	2800	33600	33600	33600	行政中心1樓設置便民自動櫃員機場地使用費收入。					0010/20	
15-6-19	0	15106		101	15106	1	100202		003	依財政收支劃分法第29條。	1010101	1011231	張	450		0		0		0	450	800	360000	360000	360000	傳統藝術季及專題系列、專案製作音樂會等演出之門票收入。					0010/15	
15-6-19	0	15106		101	15106	1	100202		004	依財政收支劃分法第29條。	1010101	1011231	張	1500		0		0		0	1500	500	750000	750000	750000	傳統藝術季及專題系列、專案製作音樂會等演出之門票收入。					1000324	
15-6-19	0	15106		101	15106	1	100202		005	依財政收支劃分法第29條。	1010101	1011231	張	5000		0		0		0	5000	300	1500000	1500000	1500000	傳統藝術季及專題系列、專案製作音樂會等演出之門票收入。					1000324	
15-6-19	0	15106		101	15106	1	100202		006	依財政收支劃分法第29條。	1010101	1011231	張	3000		0		0		0	3000	200	600000	600000	600000	傳統藝術季及專題系列、專案製作音樂會等演出之門票收入。					1000324	
7-3-34	0	07103		101	07103	1	060102		019	依「臺北市市有土地出租租金計收基準」辦理。	1010101	1011231	年	1		0		0		0	1	30420	30420	30420	30420	好名企業有限公司通道使用本市文山區富德段2小段344-1地號土地，使用面積169平方公尺，依99年公告地價每平方公尺3,600元，以年息5%概估本年度年使用費如列數。					0010/10	
7-2-34	0	07102		101	07102	1	060102		007	依本府100.4.15府法三字第10031004300號令修正臺北市市有公用房地提供使用辦法規定辦理	1010101	1011231	年	1		0		0		0	1	60000	60000	60000	60000	光泉食品股份有限公司使用本市萬華區華中段4小段440地號、中山區金泰段157地號、大同區迪化3小段832地號及北投區關渡3小段592地號等計5處土地，5台自動販賣機使用面積共計3.9平方公尺，依臺北市市有公用房地使用費收費基準表計收，每台每月1,000元，概估101年度收入60,000元。					1000822	
7-4-35	0	07104		101	07104	1	060102		013	依本府92.11.4府財五字第09224937100號函修正臺北市市有土地出租租金計收基準辦理。	1010101	1011231	年	1		0		0		0	1	91176	91176	91176	91176	臺灣電力股份有限公司使用北投區豐年段四小段619地號(北投182號綠地)，面積131平方公尺，每平方公尺年使用費696元(地下以6折計)，公告地價:23,200元/平方公尺。					0010/04	
7-4-39	0	07104		101	07104	1	060102		036	依本府92.11.4府財五字第09224937100號函修正臺北市市有土地出租租金計收基準辦理。	1010101	1011231	年	1		0		0		0	1	8625	8625	8625	8625	欣湖天然氣股份有限公司使用南港區中南段三小段374地號(南港36號九如綠地)，面積7.5平方公尺，每平方公尺年使用費1,150元，公告地價：23,000元/平方公尺。					1000531	
7-4-42	0	07104		101	07104	1	060102		049	依本府92.11.4府財五字第09224937100號函修正臺北市市有土地出租租金計收基準辦理。	1010101	1011231	年	1		0		0		0	1	37635	37635	37635	37635	浤欣有限公司使用北投區八仙段二小段89-2地號(北投139號綠地)，面積96.5平方公尺，每平方公尺年使用費390元，公告地價：7,800元/平方公尺。					0010/04	
7-4-42	0	07104		101	07104	1	060102		050	依本府92.11.4府財五字第09224937100號函修正臺北市市有土地出租租金計收基準辦理。	1010101	1011231	年	1		0		0		0	1	44668	44668	44668	44668	國際土石方資源有限公司使用北投區關渡段一小段326地號(北投228號公園)，面積6.5平方公尺，每平方公尺年使用費347元，公告地價：6,940元/平方公尺。豐年段三小段756地號，面積134.64平方公尺，每平方公尺年使用費315元，公告地價：6,300元/平方公尺。					0010/04	
7-4-42	0	07104		101	07104	1	060102		051	依本府92.11.4府財五字第09224937100號函修正臺北市市有土地出租租金計收基準辦理。	1010101	1011231	年	1		0		0		0	1	594000	594000	594000	594000	金永基有限公司使用信義區信義段三小段54-5地號(信義354號公園)，面積60平方公尺，每平方公尺年使用費9,900元，公告地價：198,000元/平方公尺。					1000310	
5-4-21	0	05114		101	05114	1	040202		007	依89.11.15北市教八字第8927111000號函辦理。	1010101	1011231	臺	1	月	12		0		0	1x12	1000	12000	12000	12000	自動櫃員機場地使用費收入。					1000822	
5-4-25	0	05114		101	05114	1	100202		009	依採購法規定辦理。	1010101	1011231	份	70		0		0		0	70	200	14000	14000	14000	出售各項採購圖說收入。					1000822	
15-6-19	0	15106		101	15106	1	100202		007	依財政收支劃分法第29條。	1010101	1011231	張	5000		0		0		0	5000	150	750000	750000	750000	傳統藝術季及專題系列、專案製作音樂會等演出之門票收入。					0010/15	
15-6-19	0	15106		101	15106	1	100202		008	依財政收支劃分法第29條。	1010101	1011231	人	30		0		0		0	30	2000	60000	60000	60000	臺北市民族器樂大賽國際賽事報名費收入。					1000324	
15-6-19	0	15106		101	15106	1	100202		009	依據「臺北市政府所屬各機關政府出版品管理要點」辦理。	1010101	1011231	張	600		0		0		0	600	300	180000	180000	180000	雷射唱片出版品銷售收入。					0010/15	
15-6-19	0	15106		101	15106	1	100202		010	依據「臺北市政府所屬各機關政府出版品管理要點」辦理。	1010101	1011231	張	720		0		0		0	720	350	252000	252000	252000	DVD出版品銷售收入。					0010/15	
15-6-19	0	15106		101	15106	1	100202		011	依據「臺北市政府所屬各機關政府出版品管理要點」辦理。	1010101	1011231	本	600		0		0		0	600	200	120000	120000	120000	樂譜出版品銷售收入。					0010/15	
3-3-27	0	03103		101	03103	1	040202		006	依據臺北市殯葬管理處各項服務收費標準表辦理。	1010101	1011231	時	15000		0		0		0	15000	225	3375000	3375000	3375000	丁級禮堂使用費收入。					0010/15	
3-4-18	0	03111		101	03111	1	040104		001	依據歸化取得我國國籍者基本語言能力及國民權利義務基本常識認定標準辦理。	1010101	1011231	人次	8		0		0		0	8	500	4000	4000	4000	國籍歸化測試工本費收入。					1000315	
7-4-35	0	07104		101	07104	1	060102		014	依本府92.11.4府財五字第09224937100號函修正臺北市市有土地出租租金計收基準辦理。	1010101	1011231	年	1		0		0		0	1	49744500	49744500	49744500	49744500	臺灣電力股份有限公司使用信義區信義段四小段31-2,31-3,37-32地號(信義21號廣場)，面積5,102平方公尺，每平方公尺年使用費9,750元（地下以6折計），公告地價：325,000元/平方公尺。					0010/04	
7-4-36	0	07104		101	07104	1	060102		015	依本府92.11.4府財五字第09224937100號函修正臺北市市有土地出租租金計收基準辦理。	1010101	1011231	年	1		0		0		0	1	786480	786480	786480	786480	臺灣電力股份有限公司使用信義區信義段四小段38-9地號(信義352號松智公園)，面積113平方公尺，每平方公尺年使用費6,960元(地下以6折計)，公告地價：232,000元/平方公尺。					0010/04	
7-4-36	0	07104		101	07104	1	060102		016	依本府92.11.4府財五字第09224937100號函修正臺北市市有土地出租租金計收基準辦理。	1010101	1011231	年	1		0		0		0	1	146050	146050	146050	146050	臺灣電力股份有限公司使用南港區中南段三小段374地號(南港36號九如綠地)，面積127平方公尺，每平方公尺年使用費1,150元，公告地價：23,000元/平方公尺。					0010/04	
7-4-36	0	07104		101	07104	1	060102		017	依本府92.11.4府財五字第09224937100號函修正臺北市市有土地出租租金計收基準辦理。	1010101	1011231	年	1		0		0		0	1	281750	281750	281750	281750	臺灣電力股份有限公司使用南港區南港段五小段467、470-3、556地號(南港37號四分綠地)，面積245平方公尺，每平方公尺年使用費1,150元，公告地價：23,000元/平方公尺。					0010/04	
7-4-31	0	07104		101	07104	1	040202		001	依行政院100.6.22院授人給字第10000406581號函修正全國軍公教員工待遇支給要點辦理。	1010101	1011231	月	12		0		0		0	12	4500	54000	54000	54000	依照職等每月扣回房租津貼收入。¶薦任八職等至簡任十四職等每人每月700元。¶每月700元×1人×12月=8,400元。¶委任四職等至薦任七職等每人每月600元。¶每月600元×1人×12月=7,200元。¶技工、駕駛、工友每人每月400元。¶每月400元×8人×12月=38,400元。					1000822	
7-4-36	0	07104		101	07104	1	060102		018	依本府92.11.4府財五字第09224937100號函修正臺北市市有土地出租租金計收基準辦理。	1010101	1011231	年	1		0		0		0	1	65320	65320	65320	65320	臺灣電力股份有限公司使用士林區福林段二小段574、566、567地號及三小段769地號(士林203號士林官邸公園)；574地號，面積12.7平方公尺；566地號，面積7.5平方公尺，567地號面積50.7平方公尺，共計面積70.9平方公尺，每平方公尺年使用費414元(均以地下6折計)，公告地價：13,800元/平方公尺；769地號，地上連接面積7.1平方公尺，每平方公尺年使用費3,269.7元，地下部分面積6.5平方公尺，每平方公尺年使用費1,961.82元(地下以6折計收)公告地價：65,394元/平方公尺。					0010/04	
5-4-25	0	05114		101	05114	1	100202		010	依相關法令規定辦理。	1010101	1011231	年	1		0		0		0	1	1000	1000	1000	1000	其他零星收入。					1000822	
5-5-20	0	05115		101	05115	1	040202		016	依91.01.22府教六字第09104439300號函修正臺北市立兒童育樂中心購票規定辦理。	1010101	1011231	人次	15000		0		0		0	15000	21	315000	315000	315000	兒童科學館入場券團體優待票。					1000822	
5-5-20	0	05115		101	05115	1	040202		017	依91.01.22府教六字第09104439300號函修正臺北市立兒童育樂中心購票規定辦理。	1010101	1011231	人次	4000		0		0		0	4000	100	400000	400000	400000	夜間開放各項票券收入。					1000822	
5-5-22	0	05115		101	05115	1	060102		001	依據臺北市市有土地出租租金計收基準規定辦理。	1010101	1011231	月	12		0		0		0	12	8252	99024	99024	99024	地藏庵租用土地租金收入。					1000822	
5-5-22	0	05115		101	05115	1	060102		002	依據臺北市市有土地出租租金計收基準規定辦理。	1010101	1011231	月	12		0		0		0	12	259050	3108600	3108600	3108600	台灣電力股份有限公司輸變電工程處北區施工處租用土地租金收入。					1000822	
5-5-26	0	05115		101	05115	1	100202		003	依據政府採購法等相關規定辦理。	1010101	1011231	次	100		0		0		0	100	100	10000	10000	10000	採購案招標文件工本費收入。					1000822	
5-5-26	0	05115		101	05115	1	100202		004	依據本府相關規定辦理。	1010101	1011231	年	1		0		0		0	1	15000	15000	15000	15000	其他零星收入。					1000822	
5-5-16	0	05115		101	05115	1	030301		001	依據合約規定辦理。	1010101	1011231	年	1		0		0		0	1	15000	15000	15000	15000	合約逾期罰款。					1000822	BGT
5-6-22	0	05116		101	05116	1	030301		001	依據81.08.14府財一字第81058039號函。	1010101	1011231	年	1		0		0		0	1	440000	440000	440000	440000	財物購置逾期違約及工程逾期完工之罰款收入。					0010/29	
5-6-28	0	05116		101	05116	1	060102		001	依據臺北市市有土地出租租金計收基準。	1010101	1011231	年	1		0		0		0	1	7162263	7162263	7162263	7162263	台灣電力公司租用美仁段二小段894號地租收入。¶81,761元*2,920平方公尺*5%*60%=7,162,263元。					1000329	
5-6-32	0	05116		101	05116	1	060105		001	91.12.10第1193次市政會議。	1010101	1011231	年	1		0		0		0	1	4782000	4782000	4782000	4782000	中山市民運動中心委託經營年權利金及回饋金收入。					1000822	
5-6-34	0	05116		101	05116	1	100202		001	依據相關法令及政府採購法規定。	1010101	1011231	年	1		0		0		0	1	30000	30000	30000	30000	其他零星收入30,000元。					1000329	
5-6-25	0	05116		101	05116	1	040202		001	依據市議會第九屆第八次臨時大會第四次會議及市府教育局93.01.27北市教七字第09330618000號函核定。	1010101	1011231	年	1		0		0		0	1	506000	506000	506000	506000	景美游泳池門票收入。¶50元*6,000張=300,000元。¶25元*8,000張=200,000元。¶15元*400張=6,000元。					1000822	
5-6-25	0	05116		101	05116	1	040202		002	依據市議會第九屆第八次臨時大會第四次會議及市府教育局93.01.27北市教七字第09330618000號函核定。	1010101	1011231	年	1		0		0		0	1	8400000	8400000	8400000	8400000	臺北體育館羽球及桌球門票收入。¶桌球100元*12月*250小時=300,000元。¶羽球500元*15,000小時=7,500,000元。¶羽球300元*2,000小時=600,000元。					1000822	
5-6-32	0	05116		101	05116	1	060105		002	市議會第九屆第八次臨時大會第一次會議。	1010101	1011231	年	1		0		0		0	1	8980000	8980000	8980000	8980000	北投市民運動中心委託經營年權利金及回饋金收入。					1000806	
2-2-22	0	02102		101	02102	1	060103		003	依據臺北市市有公用房地提供使用行政契約書辦理	1010101	1011231	月	12		0		0		0	12	4953	59436	59436	59436	財團法人中華血液基金會臺北捐血中心使用本大樓房屋，每月使用費：計算公式：(評定按比例分計房屋使用費現值* 建物使用面積(m2)* 10% / 樓地板面積(m2))/ 12﹞按比例分計房屋使用費4,953元。					0010/16	
2-2-22	0	02102		101	02102	1	060103		004	依據臺北市市有公用房地提供使用行政契約書辦理	1010101	1011231	月	12		0		0		0	12	7700	92400	92400	92400	本大樓二樓餐飲部採公開招標方式辦理，按比例分計每月房屋使用費為7,700元。					1000812	
2-2-16	0	02102		101	02102	1	040202		001	依據臺北市市政大樓及市民廣場場地使用管理辦法辦理	1010101	1011231	月	12		0		0		0	12	73500	882000	882000	882000	(1)市政大樓沈葆楨廳場地：預計每月出    　  租2次，每次4小時5,000元¶　　5,000元*2=10,000元。¶(2)東門廣場：預計每月出租3次，每次　　　4小時2,500元¶　　2,500元*3次=7,500元。¶(3)街舞區：預計每月出租3次，每次4小　　時3,500元¶　　3,500元*3次=10,500元。¶(4)好望角步道區：預計每月出租3次，　　　每次4小時2,500元¶　　2,500元*3次=7,500元。 ¶(5)新仁愛路段：預計每月假日出租3次　　 ，每次4小時5,000元¶　　5,000元*3次=15,000元。¶(6)小型集會廣場：預計每月平日出租2次　　，每次4小時2,000元；預計每月假日　　出租3次，每次4小時3,000元¶　　4,000元+9,000元=13,000元。¶(7)流水噴泉區：預計每月平日出租2次　 　　，每次4小時2,000元；預計每月假日　　出租3次，每次4小時2,000元¶　　4,000元+6,000元=10,000元。¶每月共計73,500元。					1000812	
2-2-16	0	02102		101	02102	1	040202		002	依據臺北市市政大樓員工餐廳供膳業務契約書辦理	1010101	1011231	月	12		0		0		0	12	180000	2160000	2160000	2160000	員工餐廳場地設備使用費收入，依契約每月單價180,000元計收。					0010/16	
2-2-16	0	02102		101	02102	1	040202		003	依據臺北市市有公用房地提供使用行政契約書辦理	1010101	1011231	月	12		0		0		0	12	9760	117120	117120	117120	市政大樓一樓設置飲料及食品自動販賣機、自動照相機等，每月使用費：¶(1) 飲料及食品自動販賣機：8,560元。¶(2) 自動照相機：1,200元。¶每月合計：9,760元。					1000812	
3-3-27	0	03103		101	03103	1	040202		007	依據臺北市殯葬管理處各項服務收費標準表辦理。	1010101	1011231	時	2100		0		0		0	2100	1200	2400000	2520000	2520000	甲級禮堂冷氣使用費收入。					1000706	
3-3-27	0	03103		101	03103	1	040202		008	依據臺北市殯葬管理處各項服務收費標準表辦理。	1010101	1011231	時	9500		0		0		0	9500	450	4185000	4275000	4275000	乙級禮堂冷氣使用費收入。					1000706	
3-3-28	0	03103		101	03103	1	040202		009	依據臺北市殯葬管理處各項服務收費標準表辦理。	1010101	1011231	時	13500		0		0		0	13500	300	3660000	4050000	4050000	丙級禮堂冷氣使用費收入。					1000706	
3-3-28	0	03103		101	03103	1	040202		010	依據臺北市殯葬管理處各項服務收費標準表辦理。	1010101	1011231	時	8000		0		0		0	8000	150	975000	1200000	1200000	丁級禮堂冷氣使用費收入。					1000706	
3-3-28	0	03103		101	03103	1	040202		011	依據臺北市殯葬管理處各項服務收費標準表辦理。	1010101	1011231	次	900		0		0		0	900	500	450000	450000	450000	甲級禮堂善後處理費收入。					0010/15	
3-3-28	0	03103		101	03103	1	040202		012	依據臺北市殯葬管理處各項服務收費標準表辦理。	1010101	1011231	次	6000		0		0		0	6000	300	1800000	1800000	1800000	乙級禮堂善後處理費收入。					0010/15	
3-3-28	0	03103		101	03103	1	040202		013	依據臺北市殯葬管理處各項服務收費標準表辦理。	1010101	1011231	次	9000		0		0		0	9000	200	1714800	1800000	1800000	丙級禮堂善後處理費收入。					1000706	
3-3-28	0	03103		101	03103	1	040202		014	依據臺北市殯葬管理處各項服務收費標準表辦理。	1010101	1011231	次	7500		0		0		0	7500	100	600000	750000	750000	丁級禮堂善後處理費收入。					1000706	
3-3-28	0	03103		101	03103	1	040202		015	依據臺北市殯葬管理處各項服務收費標準表辦理。	1010101	1011231	具	1500	天	15		0		0	1500x15	300	6300000	6750000	6750000	遺體寄存保管收入。					1000706	
3-3-28	0	03103		101	03103	1	040202		018	依據臺北市殯葬管理處所屬殯葬設施使用管理要點辦理。	1010101	1011231	次	50	月	12		0		0	50x12	360	216000	216000	216000	甲級禮堂變更手續費收入。					0010/15	
3-3-28	0	03103		101	03103	1	040202		019	依據臺北市殯葬管理處所屬殯葬設施使用管理要點辦理。	1010101	1011231	次	150	月	12		0		0	150x12	150	270000	270000	270000	乙級禮堂變更手續費收入。					0010/15	
3-3-29	0	03103		101	03103	1	040202		020	依據臺北市殯葬管理處所屬殯葬設施使用管理要點辦理。	1010101	1011231	次	150	月	12		0		0	150x12	120	216000	216000	216000	丙級禮堂變更手續費收入。					0010/15	
3-3-29	0	03103		101	03103	1	040202		021	依據臺北市殯葬管理處所屬殯葬設施使用管理要點辦理。	1010101	1011231	次	150	月	12		0		0	150x12	45	81000	81000	81000	丁級禮堂變更手續費收入。					0010/15	
3-3-31	0	03103		101	03103	1	040207		001	依據臺北市殯葬管理處各項服務收費標準表辦理。	1010101	1011231	次	280		0		0		0	280	1000	280000	280000	280000	遺體市內接運服務收入。					0010/15	
3-3-31	0	03103		101	03103	1	040207		002	依據臺北市殯葬管理處各項服務收費標準表辦理。	1010101	1011231	具	12000	項	4		0		0	12000x4	300	14400000	14400000	14400000	遺體洗身、化妝、著裝、大殮4項服務收入。					0010/15	
3-3-31	0	03103		101	03103	1	040207		003	依據臺北市殯葬管理處各項服務收費標準表辦理。	1010101	1011231	次	35		0		0		0	35	500	17500	17500	17500	遺體防腐服務收入。					0010/15	
3-3-31	0	03103		101	03103	1	040207		004	依據臺北市殯葬管理處各項服務收費標準表辦理。	1010101	1011231	具	40		0		0		0	40	1050	42000	42000	42000	遺體縫補服務收入。					0010/15	
3-3-31	0	03103		101	03103	1	040207		005	依據臺北市殯葬管理處各項服務收費標準表辦理。	1010101	1011231	座	2		0		0		0	2	73200	146400	146400	146400	富德公墓2坪埋葬收入。					1000315	
3-3-31	0	03103		101	03103	1	040207		006	依據臺北市殯葬管理處各項服務收費標準表辦理。	1010101	1011231	座	15		0		0		0	15	221700	3325500	3325500	3325500	富德公墓4坪埋葬收入。					1000315	
2-17-31	0	02124		101	02124	1	060201		001	依據臺北市市有財產報廢處理原則辦理	1010101	1011231	年	1		0		0		0	1	30000	0	30000	30000	變賣本所報廢之事務機具等殘值收入。					1000818	BGT
2-19-19	0	02126		101	02126	1	040203		002	依據行政程序法及臺北市政府暨所屬各機關學校處理閱卷作業要點辦理。	1010101	1011231	年	1		0		0		0	1	40	40	40	40	行政程序當事人或利害關係人申請抄寫、複印或攝影有關資料、卷宗材料費收入。					0010/21	
2-20-19	0	02127		101	02127	1	060102		001	依據臺北市市有財產管理自治條例第66條規定辦理。	1010101	1011231	月	12		0		0		0	12	184543	2214516	2214516	2214516	本區行政中心附屬辦公處基地租予台北富邦商業銀行股份有限公司之租金收入(依契約第4條依公告地價調整租金)。					1000222	
2-21-20	0	02128		101	02128	1	040202		002	臺北市政府財政局93.4.22府財一字第09304251200號函	1010101	1011231	月	12		0		0		0	12	59400	712800	712800	712800	行政中心停車場員工停車費收入。					0010/03	
2-21-30	0	02128		101	02128	1	100202		001	臺北市文山區行政中心地下室員工停車場使用管理注意事項	1010101	1011231	次	2		0		0		0	2	500	1000	1000	1000	停車場磁卡工本費收入。					0010/03	
3-5-26	0	03112		101	03112	1	060201		001	臺北市市有財產報廢處理規定辦理。	1010101	1011231	年	1		0		0		0	1	2000	2000	2000	2000	出售報廢財產及物品等殘值收入。					0010/21	
3-6-26	0	03113		101	03113	1	060201		001	依據臺北市市有財產報廢處理規定辦理。	1010101	1011231	年	1		0		0		0	1	5000	5000	5000	5000	出售報廢財產及物品等殘值收入。					0010/16	
