bgtyy	org	orgna	orgbr	morg	chief	accer	ktporg	src0	src13	u_no	orgtp	orggrd	borg	sbgna	sborg	byy	peyy	bdate	aeym	note	engid	sysdat	usno
100	05426	臺北市信義區信義國民小學	市立信義國民小學	05	　　　　	　　　　		21	426		55	2											
100	05427	臺北市信義區博愛國民小學	市立博愛國民小學	05	　　　　	　　　　		21	427		55	2											
100	05428	臺北市信義區福德國民小學	市立福德國民小學	05	　　　　	　　　　		21	428		55	2											
100	05429	臺北市信義區興雅國民小學	市立興雅國民小學	05	　　　　	　　　　		21	429		55	2											
100	05441	臺北市大安區大安國民小學	市立大安國民小學	05	　　　　	　　　　		21	441		55	2											
100	05442	臺北市大安區仁愛國民小學	市立仁愛國民小學	05	　　　　	　　　　		21	442		55	2											
100	05443	臺北市大安區公館國民小學	市立公館國民小學	05	　　　　	　　　　		21	443		55	2											
100	05444	臺北市大安區古亭國民小學	市立古亭國民小學	05	　　　　	　　　　		21	444		55	2											
100	05445	臺北市大安區幸安國民小學	市立幸安國民小學	05	　　　　	　　　　		21	445		55	2											
100	05446	臺北市大安區金華國民小學	市立金華國民小學	05	　　　　	　　　　		21	446		55	2											
100	05447	臺北市大安區建安國民小學	市立建安國民小學	05	　　　　	　　　　		21	447		55	2											
100	05448	臺北市大安區新生國民小學	市立新生國民小學	05	　　　　	　　　　		21	448		55	2											
100	05449	臺北市大安區銘傳國民小學	市立銘傳國民小學	05	　　　　	　　　　		21	449		55	2											
100	05450	臺北市大安區龍安國民小學	市立龍安國民小學	05	　　　　	　　　　		21	450		55	2											
100	05461	臺北市中山區大佳國民小學	市立大佳國民小學	05	　　　　	　　　　		21	461		55	2											
100	05462	臺北市中山區大直國民小學	市立大直國民小學	05	　　　　	　　　　		21	462		55	2											
100	05232	臺北市立北安國民中學	市立北安國民中學	05	　　　　	　　　　		21	232		54	2											
100	05233	臺北市立長安國民中學	市立長安國民中學	05	　　　　	　　　　		21	233		54	2											
100	05234	臺北市立新興國民中學	市立新興國民中學	05				21	234		54	2											
100	05241	臺北市立中正國民中學	市立中正國民中學	05				21	241		54	2											
100	05242	臺北市立古亭國民中學	市立古亭國民中學	05				21	242		54	2											
100	05243	臺北市立弘道國民中學	市立弘道國民中學	05				21	243		54	2											
100	05244	臺北市立南門國民中學	市立南門國民中學	05				21	244		54	2											
100	05245	臺北市立螢橋國民中學	市立螢橋國民中學	05				21	245		54	2											
100	05251	臺北市立民權國民中學	市立民權國民中學	05				21	251		54	2											
100	05252	臺北市立忠孝國民中學	市立忠孝國民中學	05	　　　　	　　　　		21	252		54	2											
100	05253	臺北市立建成國民中學	市立建成國民中學	05	　　　　	　　　　		21	253		54	2											
100	05254	臺北市立重慶國民中學	市立重慶國民中學	05	　　　　	　　　　		21	254		54	2											
100	05255	臺北市立蘭州國民中學	市立蘭州國民中學	05	　　　　	　　　　		21	255		54	2											
100	05261	臺北市立萬華國民中學	市立萬華國民中學	05				21	261		54	2											
100	05262	臺北市立龍山國民中學	市立龍山國民中學	05	　　　　	　　　　		21	262		54	2											
100	05263	臺北市立雙園國民中學	市立雙園國民中學	05	　　　　	　　　　		21	263		54	2											
100	05271	臺北市立木柵國民中學	市立木柵國民中學	05				21	271		54	2											
100	05272	臺北市立北政國民中學	市立北政國民中學	05	　　　　	　　　　		21	272		54	2											
100	05273	臺北市立景美國民中學	市立景美國民中學	05				21	273		54	2											
100	05274	臺北市立景興國民中學	市立景興國民中學	05				21	274		54	2											
100	05275	臺北市立實踐國民中學	市立實踐國民中學	05				21	275		54	2											
100	05276	臺北市立興福國民中學	市立興福國民中學	05				21	276		54	2											
100	05281	臺北市立成德國民中學	市立成德國民中學	05	　　　　	　　　　		21	281		54	2											
100	05282	臺北市立誠正國民中學	市立誠正國民中學	05	　　　　	　　　　		21	282		54	2											
100	05291	臺北市立三民國民中學	市立三民國民中學	05	　　　　	　　　　		21	291		54	2											
100	05481	臺北市中正區忠孝國民小學	市立忠孝國民小學	05	　　　　	　　　　		21	481		55	2											
100	05485	臺北市中正區南門國民小學	市立南門國民小學	05	　　　　	　　　　		21	485		55	2											
100	05488	臺北市中正區螢橋國民小學	市立螢橋國民小學	05	　　　　	　　　　		21	488		55	2											
100	05501	臺北市大同區大同國民小學	市立大同國民小學	05	　　　　	　　　　		21	501		55	2											
100	05546	臺北市文山區明道國民小學	市立明道國民小學	05	　　　　	　　　　		21	546		55	2											
100	05547	臺北市文山區武功國民小學	市立武功國民小學	05	　　　　	　　　　		21	547		55	2											
100	05548	臺北市文山區指南國民小學	市立指南國民小學	05	　　　　	　　　　		21	548		55	2											
100	05549	臺北市文山區博嘉國民小學	市立博嘉國民小學	05	　　　　	　　　　		21	549		55	2											
100	05550	臺北市文山區景美國民小學	市立景美國民小學	05	　　　　	　　　　		21	550		55	2											
100	05551	臺北市文山區景興國民小學	市立景興國民小學	05	　　　　	　　　　		21	551		55	2											
100	05552	臺北市文山區溪口國民小學	市立溪口國民小學	05	　　　　	　　　　		21	552		55	2											
100	05553	臺北市文山區萬芳國民小學	市立萬芳國民小學	05	　　　　	　　　　		21	553		55	2											
100	05554	臺北市文山區萬福國民小學	市立萬福國民小學	05	　　　　	　　　　		21	554		55	2											
100	05555	臺北市文山區萬興國民小學	市立萬興國民小學	05	　　　　	　　　　		21	555		55	2											
100	05556	臺北市文山區實踐國民小學	市立實踐國民小學	05	　　　　	　　　　		21	556		55	2											
100	05557	臺北市文山區興華國民小學	市立興華國民小學	05	　　　　	　　　　		21	557		55	2											
100	05558	臺北市文山區興隆國民小學	市立興隆國民小學	05	　　　　	　　　　		21	558		55	2											
100	05559	臺北市文山區興德國民小學	市立興德國民小學	05	　　　　	　　　　		21	559		55	2											
100	05571	臺北市南港區玉成國民小學	市立玉成國民小學	05	　　　　	　　　　		21	571		55	2											
100	05572	臺北市南港區成德國民小學	市立成德國民小學	05	　　　　	　　　　		21	572		55	2											
100	05573	臺北市南港區東新國民小學	市立東新國民小學	05	　　　　	　　　　		21	573		55	2											
100	05574	臺北市南港區南港國民小學	市立南港國民小學	05	　　　　	　　　　		21	574		55	2											
100	05575	臺北市南港區胡適國民小學	市立胡適國民小學	05	　　　　	　　　　		21	575		55	2											
100	05576	臺北市南港區修德國民小學	市立修德國民小學	05	　　　　	　　　　		21	576		55	2											
100	05577	臺北市南港區舊莊國民小學	市立舊莊國民小學	05	　　　　	　　　　		21	577		55	2											
100	05502	臺北市大同區大橋國民小學	市立大橋國民小學	05	　　　　	　　　　		21	502		55	2											
100	05591	臺北市內湖區大湖國民小學	市立大湖國民小學	05	　　　　	　　　　		21	591		55	2											
100	05592	臺北市內湖區內湖國民小學	市立內湖國民小學	05	　　　　	　　　　		21	592		55	2											
100	05593	臺北市內湖區文湖國民小學	市立文湖國民小學	05	　　　　	　　　　		21	593		55	2											
100	05594	臺北市內湖區西湖國民小學	市立西湖國民小學	05	　　　　	　　　　		21	594		55	2											
100	05595	臺北市內湖區明湖國民小學	市立明湖國民小學	05	　　　　	　　　　		21	595		55	2											
100	05596	臺北市內湖區東湖國民小學	市立東湖國民小學	05	　　　　	　　　　		21	596		55	2											
100	05597	臺北市內湖區南湖國民小學	市立南湖國民小學	05	　　　　	　　　　		21	597		55	2											
100	05598	臺北市內湖區康寧國民小學	市立康寧國民小學	05	　　　　	　　　　		21	598		55	2											
100	05599	臺北市內湖區新湖國民小學	市立新湖國民小學	05	　　　　	　　　　		21	599		55	2											
100	05600	臺北市內湖區碧湖國民小學	市立碧湖國民小學	05	　　　　	　　　　		21	600		55	2											
100	05601	臺北市內湖區潭美國民小學	市立潭美國民小學	05	　　　　	　　　　		21	601		55	2											
100	05602	臺北市內湖區麗山國民小學	市立麗山國民小學	05	　　　　	　　　　		21	602		55	2											
100	05611	臺北市士林區三玉國民小學	市立三玉國民小學	05	　　　　	　　　　		21	611		55	2											
100	05612	臺北市士林區士東國民小學	市立士東國民小學	05	　　　　	　　　　		21	612		55	2											
100	05613	臺北市士林區士林國民小學	市立士林國民小學	05	　　　　	　　　　		21	613		55	2											
100	05614	臺北市士林區天母國民小學	市立天母國民小學	05	　　　　	　　　　		21	614		55	2											
100	05615	臺北市士林區文昌國民小學	市立文昌國民小學	05	　　　　	　　　　		21	615		55	2											
100	05616	臺北市士林區平等國民小學	市立平等國民小學	05	　　　　	　　　　		21	616		55	2											
100	05617	臺北市士林區百齡國民小學	市立百齡國民小學	05	　　　　	　　　　		21	617		55	2											
100	05618	臺北市士林區社子國民小學	市立社子國民小學	05	　　　　	　　　　		21	618		55	2											
100	05619	臺北市士林區芝山國民小學	市立芝山國民小學	05	　　　　	　　　　		21	619		55	2											
100	05620	臺北市士林區雨農國民小學	市立雨農國民小學	05	　　　　	　　　　		21	620		55	2											
100	05621	臺北市士林區雨聲國民小學	市立雨聲國民小學	05	　　　　	　　　　		21	621		55	2											
100	05622	臺北市士林區富安國民小學	市立富安國民小學	05	　　　　	　　　　		21	622		55	2											
100	05623	臺北市士林區陽明山國民小學	市立陽明山國民小學	05	　　　　	　　　　		21	623		55	2											
100	05624	臺北市士林區溪山國民小學	市立溪山國民小學	05	　　　　	　　　　		21	624		55	2											
100	05625	臺北市士林區葫蘆國民小學	市立葫蘆國民小學	05	　　　　	　　　　		21	625		55	2											
100	05626	臺北市士林區福林國民小學	市立福林國民小學	05	　　　　	　　　　		21	626		55	2											
100	05627	臺北市士林區劍潭國民小學	市立劍潭國民小學	05	　　　　	　　　　		21	627		55	2											
100	05628	臺北市士林區雙溪國民小學	市立雙溪國民小學	05	　　　　	　　　　		21	628		55	2											
100	05629	臺北市士林區蘭雅國民小學	市立蘭雅國民小學	05	　　　　	　　　　		21	629		55	2											
100	05641	臺北市北投區大屯國民小學	市立大屯國民小學	05	　　　　	　　　　		21	641		55	2											
100	05642	臺北市北投區文化國民小學	市立文化國民小學	05	　　　　	　　　　		21	642		55	2											
100	05643	臺北市北投區文林國民小學	市立文林國民小學	05	　　　　	　　　　		21	643		55	2											
100	05644	臺北市北投區北投國民小學	市立北投國民小學	05	　　　　	　　　　		21	644		55	2											
100	05645	臺北市北投區石牌國民小學	市立石牌國民小學	05	　　　　	　　　　		21	645		55	2											
100	05646	臺北市北投區立農國民小學	市立立農國民小學	05	　　　　	　　　　		21	646		55	2											
100	05647	臺北市北投區明德國民小學	市立明德國民小學	05	　　　　	　　　　		21	647		55	2											
100	05648	臺北市北投區泉源國民小學	市立泉源國民小學	05	　　　　	　　　　		21	648		55	2											
100	05649	臺北市北投區洲美國民小學	市立洲美國民小學	05	　　　　	　　　　		21	649		55	2											
100	05650	臺北市北投區桃源國民小學	市立桃源國民小學	05	　　　　	　　　　		21	650		55	2											
100	05651	臺北市北投區清江國民小學	市立清江國民小學	05	　　　　	　　　　		21	651		55	2											
100	05652	臺北市北投區湖山國民小學	市立湖山國民小學	05	　　　　	　　　　		21	652		55	2											
100	05653	臺北市北投區湖田國民小學	市立湖田國民小學	05	　　　　	　　　　		21	653		55	2											
100	05654	臺北市北投區逸仙國民小學	市立逸仙國民小學	05	　　　　	　　　　		21	654		55	2											
100	05655	臺北市北投區義方國民小學	市立義方國民小學	05	　　　　	　　　　		21	655		55	2											
100	05656	臺北市北投區關渡國民小學	市立關渡國民小學	05	　　　　	　　　　		21	656		55	2											
100	05701	臺北市立南海實驗幼稚園	市立南海實驗幼稚園	05	　　　　	　　　　		21	701		56	2										0900814	BGT
100	05702	臺北市立育航幼稚園	市立育航幼稚園	05	　　　　	　　　　		21	702		56	2											
100	05801	臺北市立啟明學校	市立啟明學校	05	　　　　	　　　　		21	801		57	2										0900814	BGT
100	05802	臺北市立啟聰學校	市立啟聰學校	05	　　　　	　　　　		21	802		57	2											
100	05803	臺北市立啟智學校	市立啟智學校	05	　　　　	　　　　		21	803		57	2											
100	05804	臺北市立文山特殊教育實驗學校	市立文山特殊教育實驗學校	05				21	804		57	2											
100	05904	臺北市立體育場	市立體育場	05	劉家增　	許素媛　		22	904		58	2										0910807	BGT
100	05906	臺北市教師研習中心	教師研習中心	05	　　　　	　　　　	0505906	21	906		58	2										0900814	BGT
100	05951	教職員福利互助補助	教職員福利互助補助	05	　　　　	　　　　		21	951		5F	2										0900814	BGT
100	05952	教職員(工)待遇準備	教職員(工)待遇準備	05	　　　　	　　　　		21	952		5F	2											
100	05953	增班及課業費調整與鐘點費準備	增班及課業費調整與鐘點費準備	05	　　　　	　　　　		21	953		5F	2											
100	05954	學校設施改善準備	學校設施改善準備	05	　　　　	　　　　		21	954		5F	2											
100	11111	臺北市政府警察局(局本部)	警察局(局本部)	11	黃昇勇	蔡鳳珠　	1111111	71	101			4										1000315	BGT
100	11121	臺北市政府警察局松山分局	松山分局	11	林 順 家	司 毅 軍	1111121	71	102			4	11121									0990706	BGT
100	11122	臺北市政府警察局信義分局	信義分局	11	林水順	林小黛	1111122	71	103		08	4	11122									0980709	BGT
100	11123	臺北市政府警察局大安分局	大安分局	11	張傳忠	鄒友香	1111123	71	104			4										0990407	BGT
100	11124	臺北市政府警察局中山分局	中山分局	11	徐緒昕	葉陳永	1111124	71	105			4										0990319	BGT
100	11125	臺北市政府警察局中正第一分局	中正第一分局	11	陳銘政　	劉悅宜　	1111125	71	106			4										0980107	BGT
100	11126	臺北市政府警察局中正第二分局	中正第二分局	11	李永癸	洪素珠	1111126	71	107			4										0990317	BGT
100	11127	臺北市政府警察局大同分局	大同分局	11	湯明珠	丁秋雲　	1111127	71	108			4										0980708	BGT
100	11128	臺北市政府警察局萬華分局	萬華分局	11	楊春鈞	林美佑	1111128	71	109	11128	08	4	11128									0990317	BGT
100	11129	臺北市政府警察局文山第一分局	文山第一分局	11	魏慶賢	張簡素慧	0909029	71	110			4										0980710	BGT
100	11130	臺北市政府警察局文山第二分局	文山第二分局	11	呂春長　	沈朝敬	1111130	71	111			4										0980707	BGT
100	11131	臺北市政府警察局南港分局	南港分局	11	李禎琨	曾美惠	1111131	71	112			4										0991025	BGT
101	05112	臺北市立圖書館	市立圖書館	05	洪世昌　	何素嵐	0505112	22	002		58	2										0981009	BGT
101	05113	臺北市立動物園	市立動物園	05	葉傑生	陳琴瑛	0505113	22	003		58	2										1000330	BGT
101	05114	臺北市立天文科學教育館	市立天文科學教育館	05	邱國光	林芳如	0505114	22	004		58	2										1000722	BGT
100	11132	臺北市政府警察局內湖分局	內湖分局	11	王鳳輝	魏夏美	1111132	71	113			4										0990316	BGT
101	05115	臺北市立兒童育樂中心	市立兒童育樂中心	05	洪坤森	宋淑好	0505905	22	005		58	2										1000815	BGT
100	11133	臺北市政府警察局士林分局	士林分局	11	李漢卿	鄧翊雯	1111133	71	114			4										0981120	BGT
100	11134	臺北市政府警察局北投分局	北投分局	11	陳國進	余鳳清	1111134	71	115			4	11134									1000319	BGT
100	11141	臺北市政府警察局保安警察大隊	保安警察大隊	11	詹永華	梁惠玲	1111141	71	116	11141		4	11141									0991201	BGT
100	11142	臺北市政府警察局刑事警察大隊	刑事警察大隊	11	黃明昭	戴雯芝	1111142	71	117	11142		4	11142									1000520	BGT
100	11143	臺北市政府警察局交通警察大隊	交通警察大隊	11	方仰寧	戴雯芝	0909053	71	118	11143	08	4	11143									0980105	BGT
101	05117	臺北市家庭教育中心	家庭教育中心	05	石康平	詹佳婷	0505907	22	007	05	58	2										1000815	BGT
101	05116	臺北市體育處	體育處	05	孫清泉　	許素媛　	0505906	22	006		58	2										0990303	BGT
101	06000	臺北市政府產業發展局主管	產業發展局主管	06	陳雄文　	魏梅枰		31	000			1										1000309	BGT
101	06101	臺北市政府產業發展局	產業發展局	06	陳雄文　	魏梅枰	0606101	31	001			2										1000309	BGT
101	06102	臺北市動物保護處	動物保護處	06	嚴一峰	游育鳴		31	002	06102		2										0991025	BGT
101	06103	臺北市市場處	市場處	06	丁若亭	林瑞碧		31	003			2										0980106	BGT
101	06104	臺北市商業處	商業處	06	劉佳鈞	簡秀霞	0606104	34	004			2										1010102	BGT
101	06105	臺北市大地工程處	大地工程處	06	林裕益	魏瑜貞	0606101	31	005			2										1000815	BGT
101	07000	臺北市政府工務局主管	工務局主管	07	李咸亨	鄭秀貞		33	000			1										1000802	BGT
101	07101	臺北市政府工務局	工務局	07	李咸亨	鄭秀貞　		33	001			2										1000802	BGT
101	07102	臺北市政府工務局水利工程處	水利工程處	07	黃治峰	張寧生		31	002			2										1000412	BGT
101	07103	臺北市政府工務局新建工程處	新建工程處	07	黃一平	姜  昕		33	003	07003		2										0990623	BGT
101	07104	臺北市政府工務局公園路燈工程管理處	公園路燈工程管理處	07	陳嘉欽	阮美琨		51	004			2										0940415	BGT
101	07105	臺北市政府工務局衛生下水道工程處	衛生下水道工程處	07	陳永輝　	劉淑江　		34	005			2										1000727	BGT
101	08000	臺北市政府交通局主管	交通局主管	08	林志盈	曾淑美	1717000	33				1										1000603	BGT
101	08101	臺北市政府交通局	交通局	08	林志盈	曾淑美		33	001			2										1000301	BGT
101	08102	臺北市監理處	監理處	08	鄭俊明　	周麗卿　	0808102	33	002			2										0970730	BGT
101	08103	臺北市停車管理工程處	停車管理工程處	08	張哲揚	王建今		33	003			2										1000316	BGT
101	08104	臺北市交通管制工程處	交通管制工程處	08	陳學台　	郭德芳　	0808104	33	004			2										1000331	BGT
100	11144	臺北市政府警察局少年警察隊	少年警察隊	11	許正道	潘玉美　	1111144	71	119			4										0960727	BGT
100	11145	臺北市政府警察局婦幼警察隊	婦幼警察隊	11	張素菱	高雪卿　	1111145	71	120			4	11145									0980105	BGT
101	08108	臺北市交通事件裁決所	交通事件裁決所	08	林文淵	劉美纓	0808108	33	006			2										0990630	BGT
101	08105	臺北市公共運輸處	公共運輸處	08	王聲威	黃淑貞	0808105	33	005			2										1000221	BGT
101	09000	臺北市政府社會局主管	社會局主管	09	江綺雯	李如欣		43	000			1										1000513	BGT
101	09101	臺北市政府社會局	社會局	09	江綺雯　	李如欣　	0909101	43	001			2										1000601	BGT
100	11146	臺北市政府警察局捷運警察隊	捷運警察隊	11	黃勢清	梁惠玲	1111146	71	121			4	11146									0980320	BGT
101	09102	臺北市立陽明教養院	陽明教養院	09	孫麗珠　	叢  森　	0808003	43	002			2										0970314	BGT
101	09103	臺北市立浩然敬老院	浩然敬老院	09	張婌文	陳金定	0909103	43	003			2										0991203	BGT
100	05292	臺北市立內湖國民中學	市立內湖國民中學	05				21	292		54	2											
101	09117	臺北市立萬華托兒所	市立萬華托兒所	09	林明君	許寶文	0909117	43	011	08022		2										0991116	BGT
101	09116	臺北市立大同托兒所	市立大同托兒所	09	高麗束	許寶文	0909116	43	010			2										0991116	BGT
101	09115	臺北市立中正托兒所	市立中正托兒所	09	婁淑惠	王粉燕	0909115	43	009			2										1001229	BGT
101	09119	臺北市立南港托兒所	市立南港托兒所	09	劉香蘭　	徐玉珍	0909119	43	013			2										0980810	BGT
101	09118	臺北市立文山托兒所	市立文山托兒所	09	蘇信如　	王粉燕	0909118	43	012	09118		2										1001229	BGT
101	09121	臺北市立士林托兒所	市立士林托兒所	09	江美蓮	何青萍	0909121	43	015			2										0990611	BGT
100	05463	臺北市中山區中山國民小學	市立中山國民小學	05	　　　　	　　　　		21	463		55	2											
101	09111	臺北市立松山托兒所	市立松山托兒所	09	洪玉來	王素如	0808032	43	005			2										1000309	BGT
101	09112	臺北市立信義托兒所	市立信義托兒所	09	劉惜餘	徐玉珍	0909112	43	006			2										0980810	BGT
101	09113	臺北市立大安托兒所	市立大安托兒所	09	郭美玉　	何青萍　	0909113	43	007			2										0990610	BGT
101	09120	臺北市立內湖托兒所	市立內湖托兒所	09	陳貞朱	王素如	0909120	43	014	09111		2										1000309	BGT
101	09122	臺北市立北投托兒所	市立北投托兒所	09	劉美玲	蕭美蓮	0909122	43	016			2										0980810	BGT
101	09114	臺北市立中山托兒所	市立中山托兒所	09	王韻華　	蕭美蓮　	0909114	43	008			2										0980810	BGT
101	09104	臺北市家庭暴力暨性侵害防治中心	家庭暴力暨性侵害防治中心	09	張美美	洪三富	0909104	13	004			2										1000801	BGT
101	10000	臺北市政府勞工局主管	勞工局主管	10	陳業鑫	王秋斐			000			1										0991026	BGT
101	10101	臺北市政府勞工局	勞工局	10	陳業鑫	王秋斐　	1010101	43	001			2										0991026	BGT
101	10102	臺北市政府勞工局就業服務處	就業服務處	10	徐玉雪	張芳菁		44	002			2										1000322	BGT
101	10103	臺北市政府勞工局職業訓練中心	職業訓練中心	10	楊建基	林佳欣		14	003			2										1000902	BGT
101	10104	臺北市政府勞工局勞工教育中心	勞工教育中心	10	吳海燕　	陳淑惠		43	004	10104		2	10104									1000320	BGT
101	10105	臺北市政府勞工局勞動檢查處	勞動檢查處	10	鄒子廉	陳淑惠	1010105	43	005	10105		2	10105									1001228	BGT
101	11000	臺北市政府警察局主管	警察局主管	11	黃昇勇	蔡鳳珠		71	000			1	11101									1000315	BGT
101	11101	臺北市政府警察局	警察局	11	黃昇勇	蔡鳳珠　		71	001			3										1000315	BGT
101	11111	臺北市政府警察局(局本部)	警察局(局本部)	11	黃昇勇	蔡鳳珠　	1111111	71	101			4										1000315	BGT
101	11121	臺北市政府警察局松山分局	松山分局	11	林 順 家	司 毅 軍	1111121	71	102			4	11121									0990706	BGT
101	11122	臺北市政府警察局信義分局	信義分局	11	王嘉衡	林小黛	1111122	71	103		08	4	11122									1000322	BGT
101	11123	臺北市政府警察局大安分局	大安分局	11	張傳忠	劉悅宜	1111123	71	104			4										1000321	BGT
101	11124	臺北市政府警察局中山分局	中山分局	11	李永癸	葉陳永	1111124	71	105			4										1001229	BGT
101	11125	臺北市政府警察局中正第一分局	中正第一分局	11	方仰寧　	鄒友香　	1111125	71	106			4										1000316	BGT
101	11126	臺北市政府警察局中正第二分局	中正第二分局	11	李永癸	洪素珠	1111126	71	107			4										0990317	BGT
101	11127	臺北市政府警察局大同分局	大同分局	11	陳國進	丁秋雲　	1111127	71	108			4										1000318	BGT
101	11128	臺北市政府警察局萬華分局	萬華分局	11	楊春鈞	林美佑	1111128	71	109	11128	08	4	11128									0990317	BGT
101	11129	臺北市政府警察局文山第一分局	文山第一分局	11	廖美鈴	張簡素慧	0909029	71	110			4										1000321	BGT
101	11130	臺北市政府警察局文山第二分局	文山第二分局	11	呂春長　	黃玉枝	1111130	71	111			4										1000810	BGT
101	11131	臺北市政府警察局南港分局	南港分局	11	黃啟澤	曾美惠	1111131	71	112			4										1000322	BGT
101	11132	臺北市政府警察局內湖分局	內湖分局	11	王鳳輝	江心琳	1111132	71	113			4										1000705	BGT
